"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Allow All Products per Page","Allow All Products per Page"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Whether to show ""All"" option in the ""Show X Per Page"" dropdown."
"Products per Line for Desktop View","Products per Line for Desktop View"
"Products per Line for Mobile View","Products per Line for Mobile View"
"Enable Quick View","Enable Quick View"
"Display Product Name","Display Product Name"
"Show Product Reviews","Show Product Reviews"
"Swatch Display Type","Swatch Display Type"
"Show Swatch Tooltip","Show Swatch Tooltip"
"Show Swatches in Product List","Show Swatches in Product List"
"Display Product Count","Display Product Count"
"Display Category Filter","Display Category Filter"
"Show Short Description","Show Short Description"
"Display Add to Cart Button","Display Add to Cart Button"
"Align Add to Cart","Align Add to Cart"
"Show Add to Wishlist","Show Add to Wishlist"
"Show Add to Сompare","Show Add to Сompare"
"Product Page","Product Page"
"Show Image Gallery Thumbnails","Show Image Gallery Thumbnails"
"Show Product Review","Show Product Review"
"Show Stock Info","Show Stock Info"
"Show Product Sku","Show Product Sku"
"Add To Cart Button Position","Add To Cart Button Position"
"Show Add To Wishlist","Show Add To Wishlist"
"Show Add To Compare","Show Add To Compare"
"Custom Footer","Custom Footer"
"Show Logo Block","Show Logo Block"
"Show Subscription Block","Show Subscription Block"
"Show Subscription Block On Mobile","Show Subscription Block On Mobile"
"Show Social Network Links Block","Show Social Network Links Block"
"Show Footer Links Block","Show Footer Links Block"
"Enable Custom CMS Block","Enable Custom CMS Block"
"Select CMS Block","Select CMS Block"
"Please make sure that CMS Block is enabled.","Please make sure that CMS Block is enabled."
"Enable Custom Mini Footer","Enable Custom Mini Footer"
"Copyright Text","Copyright Text"
"If you want to apply the different text per Store View, please choose the needed Store View in the Scope setting.","If you want to apply the different text per Store View, please choose the needed Store View in the Scope setting."
"Mini Footer CMS Block","Mini Footer CMS Block"
"Enable Custom Layout","Enable Custom Layout"
Layout,Layout
"Show Payment Methods Block","Show Payment Methods Block"
"Align Payment Methods Block","Align Payment Methods Block"
"Payment Methods Block","Payment Methods Block"
"Show Payment Methods in Minicart","Show Payment Methods in Minicart"
"Show Payment Methods on Shopping Cart Page","Show Payment Methods on Shopping Cart Page"
"Show Payment Methods on Product Page","Show Payment Methods on Product Page"
"Image Optimization","Image Optimization"
"Two Columns","Two Columns"
"Three Columns","Three Columns"
"Footer Logo","Footer Logo"
"Subscription Block","Subscription Block"
Social,Social
"CMS Block","CMS Block"
"Footer Links","Footer Links"
"Payment Methods","Payment Methods"
"Slide image 1 url","Slide image 1 url"
"Slide image 1 short description","Slide image 1 short description"
"Slide image 1 link destination","Slide image 1 link destination"
"Slide image 2 url","Slide image 2 url"
"Slide image 2 short description","Slide image 2 short description"
"Slide image 2 link destination","Slide image 2 link destination"
"Slide image 3 url","Slide image 3 url"
"Slide image 3 short description","Slide image 3 short description"
"Slide image 3 link destination","Slide image 3 link destination"
"Widget Title","Widget Title"
"Visible Item Quantity","Visible Item Quantity"
"Enter the number of products that you want to be visible at first sight in the widget. Please use integers.","Enter the number of products that you want to be visible at first sight in the widget. Please use integers."
"Category Item Quantity","Category Item Quantity"
"Enter the number of products from the category that will be displayed in the widget. Effects all selected categories. Please use integers.","Enter the number of products from the category that will be displayed in the widget. Effects all selected categories. Please use integers."
"Slider Max Width","Slider Max Width"
"Leave blank to use the value from the configuration. Please use integers.","Leave blank to use the value from the configuration. Please use integers."
"Show Arrows","Show Arrows"
"Arrows Display Type","Arrows Display Type"
"Show Dots for Slider","Show Dots for Slider"
"Infinity Loop","Infinity Loop"
"Auto Play","Auto Play"
"Auto Play Speed","Auto Play Speed"
"Value in milliseconds. E.g. 2000 = 2 seconds. Please use integers.","Value in milliseconds. E.g. 2000 = 2 seconds. Please use integers."
"Simulate Touch","Simulate Touch"
"Tab 1 Title","Tab 1 Title"
"Category 1","Category 1"
"Select Category...","Select Category..."
"Tab 2 Title","Tab 2 Title"
"Category 2","Category 2"
"Tab 3 Title","Tab 3 Title"
"Category 3","Category 3"
Template,Template
"Amasty Category Tab Widget Template","Amasty Category Tab Widget Template"
"General Information","General Information"
Title,Title
"Choose Icon","Choose Icon"
"Show Icons","Show Icons"
"Hide Icons","Hide Icons"
"Upload Custom Icon","Upload Custom Icon"
"
                        Image will be resized to 64x64 px. Allowed file types: jpg, jpeg, png.
                    ","
                        Image will be resized to 64x64 px. Allowed file types: jpg, jpeg, png.
                    "
"Is Enabled","Is Enabled"
"Store View","Store View"
"Sort Order","Sort Order"
"Add New Payment Method Icon","Add New Payment Method Icon"
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
Enable,Enable
Disable,Disable
ID,ID
Icon,Icon
Status,Status
Edit,Edit
Link,Link
"Add New Social Link","Add New Social Link"
